Team,CompletionRate,AverageYards
ARI,55.75,5.74
ATL,68.16,7.88
BAL,58.89,6.52
BUF,53.32,6.05
CAR,65.45,7.04
CHI,64.65,7.22
CIN,59.18,6.4
CLE,60.34,7.38
DAL,65.45,7.14
DEN,61.1,6.57
DET,63.71,6.58
GB,59.91,7.07
HOU,66.22,8.06
IND,65.46,6.98
JAX,60.85,6.37
KC,65.38,8.63
LA,63.48,8.13
LAC,66.81,8.31
MIA,62.79,7.11
MIN,69.52,6.98
NE,63.97,7.52
NO,71.35,7.83
NYG,64.15,7.4
NYJ,56.52,6.41
OAK,67.67,7.27
PHI,69.04,7.55
PIT,64.94,7.33
SEA,63.29,7.61
SF,60.92,7.71
TB,63.89,8.4
TEN,65.32,7.28
WAS,59.73,6.4
