Team,W,L,T,AverageYards,CompletionRate
LA,13,3,0,8.13,63.48
NO,13,3,0,7.83,71.35
CHI,12,4,0,7.22,64.65
KC,12,4,0,8.63,65.38
LAC,12,4,0,8.31,66.81
HOU,11,5,0,8.06,66.22
NE,11,5,0,7.52,63.97
PIT,9,6,1,7.33,64.94
BAL,10,6,0,6.52,58.89
DAL,10,6,0,7.14,65.45
IND,10,6,0,6.98,65.46
SEA,10,6,0,7.61,63.29
MIN,8,7,1,6.98,69.52
PHI,9,7,0,7.55,69.04
TEN,9,7,0,7.28,65.32
CLE,7,8,1,7.38,60.34
GB,6,9,1,7.07,59.91
ATL,7,9,0,7.88,68.16
CAR,7,9,0,7.04,65.45
MIA,7,9,0,7.11,62.79
WAS,7,9,0,6.4,59.73
BUF,6,10,0,6.05,53.32
CIN,6,10,0,6.4,59.18
DEN,6,10,0,6.57,61.1
DET,6,10,0,6.58,63.71
JAX,5,11,0,6.37,60.85
NYG,5,11,0,7.4,64.15
TB,5,11,0,8.4,63.89
NYJ,4,12,0,6.41,56.52
OAK,4,12,0,7.27,67.67
SF,4,12,0,7.71,60.92
ARI,3,13,0,5.74,55.75
