gameId,playId,event,down,yardsToGo,playDirection,absoluteYardlineNumber,playResult,togo,x,y,firstdown
2018090600,256,ball_snap,3,1,left,11,0,short,11.74,23.82,0
2018090600,256,pass_outcome_incomplete,3,1,left,11,0,short,10,45.06,0
2018090600,636,ball_snap,3,3,left,13,0,short,14.27,23.8,0
2018090600,636,pass_outcome_incomplete,3,3,left,13,0,short,7.9,13.78,0
2018090600,1779,ball_snap,2,3,left,74,0,short,75.08,29.98,0
2018090600,1779,pass_outcome_incomplete,2,3,left,74,0,short,75.59,43.17,0
2018090600,1801,ball_snap,3,3,left,74,0,short,75.17,29.78,0
2018090600,1801,pass_outcome_incomplete,3,3,left,74,0,short,57.11,49.21,0
2018090600,1940,ball_snap,3,3,right,41,0,short,40.09,24.06,0
2018090600,1940,pass_outcome_incomplete,3,3,right,41,0,short,44.3,33.79,0
2018090600,3392,ball_snap,3,3,left,25,0,short,26.18,29.76,0
2018090600,4306,ball_snap,2,1,left,23,-7,short,24.26,30.01,0
2018090902,81,ball_snap,2,3,right,47,0,short,46.59,24.95,0
2018090901,96,ball_snap,3,2,right,43,0,short,41.98,30.05,0
2018090901,96,pass_outcome_incomplete,3,2,right,43,0,short,45.52,25.8,0
2018090905,475,ball_snap,3,3,right,61,0,short,58.17,29.95,0
2018090905,475,pass_outcome_incomplete,3,3,right,61,0,short,66.65,53.14,0
2018090906,628,ball_snap,3,3,left,27,0,short,27.89,30.16,0
2018090906,628,pass_outcome_incomplete,3,3,left,27,0,short,8.14,1.85,0
2018090903,641,ball_snap,2,3,right,107,0,short,106.89,29.89,0
2018090903,641,pass_outcome_incomplete,2,3,right,107,0,short,108.61,51.43,0
2018090903,663,ball_snap,3,3,right,107,0,short,106.75,29.84,0
2018090903,663,pass_outcome_incomplete,3,3,right,107,0,short,120.43,57.63,0
2018090903,685,ball_snap,4,3,right,107,1,short,106.16,29.88,0
2018090903,1235,ball_snap,3,3,left,65,0,short,66.42,29.85,0
2018090903,1235,pass_outcome_incomplete,3,3,left,65,0,short,45.97,2.54,0
2018090906,1419,ball_snap,2,2,left,80,0,short,79.55,30.05,0
2018090906,1419,pass_outcome_incomplete,2,2,left,80,0,short,83.8,15.33,0
2018090903,1556,ball_snap,4,1,right,95,0,short,94.09,29.94,0
2018090903,1556,pass_outcome_incomplete,4,1,right,95,0,short,98.84,0.14,0
2018090902,1730,ball_snap,1,3,left,13,0,short,13.29,23.46,0
2018090902,1730,pass_outcome_incomplete,1,3,left,13,0,short,4.47,44.58,0
2018090905,1646,ball_snap,2,3,right,68,0,short,67.97,29.74,0
2018090902,1904,ball_snap,2,2,right,54,1,short,52.73,23.58,0
2018090906,2479,ball_snap,2,3,left,13,0,short,12.96,23.82,0
2018090906,2479,pass_outcome_incomplete,2,3,left,13,0,short,12.02,0.01,0
2018090906,2501,ball_snap,3,3,left,13,-15,short,13.52,23.92,0
2018090906,2501,pass_outcome_incomplete,3,3,left,13,-15,short,7.19,1.46,0
2018090900,2696,ball_snap,1,3,left,NA,-10,short,13.97,23.69,0
2018090907,2511,ball_snap,2,3,left,53,0,short,53.69,29.84,0
2018090907,2511,pass_outcome_incomplete,2,3,left,53,0,short,54.49,23.65,0
2018090906,2748,ball_snap,3,1,left,76,0,short,76.04,30.03,0
2018090906,2748,pass_outcome_incomplete,3,1,left,76,0,short,41.89,51.38,0
2018090902,3525,ball_snap,3,2,right,43,0,short,42.21,23.74,0
2018090902,3525,pass_outcome_incomplete,3,2,right,43,0,short,66.06,0.28,0
2018090905,3970,ball_snap,2,2,right,108,0,short,107.51,29.85,0
2018090905,3970,pass_outcome_incomplete,2,2,right,108,0,short,114.08,10.12,0
2018090905,3992,ball_snap,3,2,right,NA,1,short,107.84,29.83,0
2018090905,3992,pass_outcome_incomplete,3,2,right,NA,1,short,119.37,10.78,0
2018090903,1971,ball_snap,3,3,left,78,0,short,80.12,26.1,0
2018090903,1971,pass_outcome_incomplete,3,3,left,78,0,short,57.07,0.59,0
2018090901,4620,ball_snap,3,1,right,44,0,short,42.79,23.86,0
2018090901,4620,pass_outcome_incomplete,3,1,right,44,0,short,61.07,11.72,0
2018090909,1751,ball_snap,2,2,right,106,0,short,103.99,29.81,0
2018090909,1968,ball_snap,3,3,left,51,0,short,52.45,23.89,0
2018090909,1968,pass_outcome_incomplete,3,3,left,51,0,short,62.22,20.5,0
2018090910,2434,ball_snap,3,3,left,56,0,short,55.98,26.32,0
2018090910,2434,pass_outcome_incomplete,3,3,left,56,0,short,38.56,58.11,0
2018090903,3485,ball_snap,2,3,left,60,0,short,60.08,27.1,0
2018090903,3485,pass_outcome_incomplete,2,3,left,60,0,short,60.3,38.64,0
2018090912,266,ball_snap,2,2,left,77,0,short,78.13,24.11,0
2018090912,756,ball_snap,2,3,left,13,0,short,13.01,29.78,0
2018090912,756,pass_outcome_incomplete,2,3,left,13,0,short,-1.09,56.38,0
2018090912,795,ball_snap,3,3,left,13,-5,short,12.82,29.8,0
2018090912,2868,ball_snap,3,1,left,76,0,short,77.09,29.38,0
2018090912,3105,ball_snap,2,3,left,78,0,short,79.03,29.87,0
2018090912,3464,ball_snap,3,2,left,24,0,short,24.79,23.74,0
2018090912,3464,pass_outcome_incomplete,3,2,left,24,0,short,16.27,39.78,0
2018091000,1987,ball_snap,3,3,left,13,0,short,13.96,25.07,0
2018091000,1987,pass_outcome_incomplete,3,3,left,13,0,short,-0.77,54.93,0
2018091000,2495,ball_snap,3,1,right,44,0,short,43.01,29.7,0
2018091000,3632,ball_snap,2,1,left,45,0,short,44.87,25.54,0
2018091000,3632,pass_outcome_incomplete,2,1,left,45,0,short,30.71,39.43,0
2018091000,3654,ball_snap,3,1,left,45,0,short,45.48,25.88,0
2018091000,3654,pass_outcome_incomplete,3,1,left,45,0,short,36.11,52.8,0
2018091000,3676,ball_snap,4,1,left,45,0,short,45.91,26.22,0
2018091001,362,ball_snap,3,2,left,77,0,short,77.69,29.91,0
2018091001,362,pass_outcome_incomplete,3,2,left,77,0,short,71.27,47.26,0
2018091001,2035,ball_snap,2,1,left,40,0,short,40.48,23.72,0
2018091001,2035,pass_outcome_incomplete,2,1,left,40,0,short,25.52,60.56,0
2018091001,2821,ball_snap,3,2,right,26,-3,short,24.94,23.49,0
2018091001,3223,ball_snap,2,1,right,51,0,short,50.1,29.7,0
2018091001,3223,pass_outcome_incomplete,2,1,right,51,0,short,79.26,37.49,0
2018091001,3385,ball_snap,3,3,right,73,0,short,71.85,29.66,0
